"Status","Date and Time","Response Time (ms)","Error","Location"
"up","03/30/2022 10:35:33 AM","211 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 10:34:33 AM","432 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 10:33:33 AM","615 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 10:32:33 AM","583 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 10:31:33 AM","354 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 10:30:33 AM","143 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 10:29:33 AM","547 ms","OK","Portland 2 (OR)"
"up","03/30/2022 10:28:33 AM","533 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 10:27:33 AM","621 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 10:26:33 AM","505 ms","OK","Warsaw (Poland)"
"up","03/30/2022 10:25:33 AM","213 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 10:24:33 AM","533 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 10:23:33 AM","770 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 10:22:33 AM","628 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 10:21:33 AM","391 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 10:20:33 AM","228 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 10:19:33 AM","397 ms","OK","Portland 2 (OR)"
"up","03/30/2022 10:18:33 AM","511 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 10:17:33 AM","686 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 10:16:33 AM","627 ms","OK","Warsaw (Poland)"
"up","03/30/2022 10:15:33 AM","271 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 10:14:33 AM","450 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 10:13:33 AM","735 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 10:12:33 AM","731 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 10:11:33 AM","367 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 10:10:33 AM","220 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 10:09:33 AM","359 ms","OK","Portland 2 (OR)"
"up","03/30/2022 10:08:33 AM","393 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 10:07:33 AM","492 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 10:06:33 AM","542 ms","OK","Warsaw (Poland)"
"up","03/30/2022 10:05:33 AM","212 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 10:04:33 AM","565 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 10:03:33 AM","740 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 10:02:33 AM","658 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 10:01:33 AM","333 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 10:00:33 AM","141 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 09:59:33 AM","422 ms","OK","Portland 2 (OR)"
"up","03/30/2022 09:58:33 AM","545 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 09:57:33 AM","578 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 09:56:33 AM","573 ms","OK","Warsaw (Poland)"
"up","03/30/2022 09:55:33 AM","161 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 09:54:33 AM","424 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 09:53:33 AM","702 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 09:52:33 AM","527 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 09:51:33 AM","347 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 09:50:33 AM","116 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 09:49:33 AM","466 ms","OK","Portland 2 (OR)"
"up","03/30/2022 09:48:33 AM","501 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 09:47:33 AM","702 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 09:46:33 AM","606 ms","OK","Warsaw (Poland)"
"up","03/30/2022 09:45:33 AM","241 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 09:44:33 AM","468 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 09:43:33 AM","659 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 09:42:33 AM","690 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 09:41:33 AM","359 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 09:40:33 AM","250 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 09:39:33 AM","490 ms","OK","Portland 2 (OR)"
"up","03/30/2022 09:38:33 AM","433 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 09:37:33 AM","637 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 09:36:33 AM","552 ms","OK","Warsaw (Poland)"
"up","03/30/2022 09:35:33 AM","201 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 09:34:33 AM","481 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 09:33:33 AM","713 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 09:32:33 AM","674 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 09:31:33 AM","392 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 09:30:33 AM","194 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 09:29:33 AM","422 ms","OK","Portland 2 (OR)"
"up","03/30/2022 09:28:33 AM","593 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 09:27:33 AM","664 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 09:26:33 AM","510 ms","OK","Warsaw (Poland)"
"up","03/30/2022 09:25:33 AM","228 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 09:24:33 AM","496 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 09:23:33 AM","683 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 09:22:33 AM","594 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 09:21:33 AM","421 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 09:20:33 AM","209 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 09:19:33 AM","483 ms","OK","Portland 2 (OR)"
"up","03/30/2022 09:18:33 AM","555 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 09:17:33 AM","606 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 09:16:33 AM","619 ms","OK","Warsaw (Poland)"
"up","03/30/2022 09:15:33 AM","245 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 09:14:33 AM","547 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 09:13:33 AM","618 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 09:12:33 AM","725 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 09:11:33 AM","381 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 09:10:33 AM","217 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 09:09:33 AM","504 ms","OK","Portland 2 (OR)"
"up","03/30/2022 09:08:33 AM","543 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 09:07:33 AM","602 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 09:06:33 AM","547 ms","OK","Warsaw (Poland)"
"up","03/30/2022 09:05:33 AM","221 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 09:04:33 AM","459 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 09:03:33 AM","832 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 09:02:33 AM","573 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 09:01:33 AM","336 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 09:00:33 AM","178 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 08:59:33 AM","471 ms","OK","Portland 2 (OR)"
"up","03/30/2022 08:58:33 AM","387 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 08:57:33 AM","632 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 08:56:33 AM","526 ms","OK","Warsaw (Poland)"
"up","03/30/2022 08:55:33 AM","234 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 08:54:33 AM","482 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 08:53:33 AM","705 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 08:52:33 AM","660 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 08:51:33 AM","596 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 08:50:33 AM","178 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 08:49:33 AM","480 ms","OK","Portland 2 (OR)"
"up","03/30/2022 08:48:33 AM","567 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 08:47:33 AM","623 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 08:46:33 AM","558 ms","OK","Warsaw (Poland)"
"up","03/30/2022 08:45:33 AM","240 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 08:44:33 AM","381 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 08:43:33 AM","634 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 08:42:33 AM","688 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 08:41:33 AM","340 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 08:40:33 AM","246 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 08:39:33 AM","367 ms","OK","Portland 2 (OR)"
"up","03/30/2022 08:38:33 AM","474 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 08:37:33 AM","636 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 08:36:33 AM","501 ms","OK","Warsaw (Poland)"
"up","03/30/2022 08:35:33 AM","240 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 08:34:33 AM","432 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 08:33:33 AM","733 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 08:32:33 AM","651 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 08:31:33 AM","453 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 08:30:33 AM","174 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 08:29:33 AM","466 ms","OK","Portland 2 (OR)"
"up","03/30/2022 08:28:33 AM","386 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 08:27:33 AM","559 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 08:26:33 AM","570 ms","OK","Warsaw (Poland)"
"up","03/30/2022 08:25:33 AM","284 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 08:24:33 AM","396 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 08:23:33 AM","724 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 08:22:33 AM","605 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 08:21:33 AM","372 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 08:20:33 AM","241 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 08:19:33 AM","478 ms","OK","Portland 2 (OR)"
